,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
SQL,Squall Coin,X11,TRUE,PoS/PoW,329200.0164,0.00
MIL,Milllionaire Coin,X11,TRUE,PoW/PoS,0,0.00
QTZ,Quartz,SHA-256,TRUE,PoW/PoS,,0.00
SPC,SpinCoin,NIST5,TRUE,PoW/PoS,,0.00
DUB,DubCoin,X15,TRUE,PoW/PoS,,0.00
GRAV,Graviton,SHA-256,TRUE,PoW/PoS,,0.00
XSEED,BitSeeds,SHA-256,TRUE,PoW/PoS,,0.00
CHIP,Chip,X11,TRUE,PoW,,0.00
SPRTS,Sprouts,SHA-256,TRUE,PoW/PoS,,0.00
SC,Siacoin,Blake2b,TRUE,PoW,33098296530,0.00
LYB,LyraBar,Lyra2RE,TRUE,PoW/PoS,,0.00
PWR,PWR Coin,NIST5,TRUE,PoW/PoS,10069449032,0.00
ROOT,RootCoin,Scrypt,TRUE,PoW/PoS,1939889,0.00
BTCR,BitCurrency,Scrypt,TRUE,PoS,169598616,0.00
PSB,PesoBit,Scrypt,TRUE,PoW/PoS,33522957,0.00
CRSP,CryptoSpots,DPoS,TRUE,DPoS,,0.00
INF8,Infinium-8,CryptoNight,FALSE,PoW,,0.00
DYN,Dynamic,Argon2d,TRUE,PoW,19784224.65,0.00
NYC,NewYorkCoin,Scrypt,TRUE,PoW,1.43007E+11,0.00
JMC,Junson Ming Chan Coin,X11,TRUE,PoS,17209923728,0.00
VEO,Amoveo,SHA-256,TRUE,PoW,,0.00
TRK,TruckCoin,X11,TRUE,PoW/PoS,242574105.2,0.00
ASN,Ascension Coin,QuBit,TRUE,PoW/PoS,0,0.00
HYPER,HyperCoin,Scrypt,TRUE,PoW/PoS,9631199.993,0.00
TWLV,Twelve Coin,T-Inside,TRUE,PoW/PoS,,0.00
BTQ,BitQuark,Multiple,TRUE,PoW,,0.00
EOS,EOS,DPoS,TRUE,DPoS,1020544523,0.00
OXY,Oxycoin,DPoS,TRUE,DPoS,1122382283,0.00
XQN,Quotient,Scrypt,TRUE,PoW/PoS,,0.00
CHAO,23 Skidoo,SHA-256D,TRUE,PoW,,23.00
42,42 Coin,Scrypt,TRUE,PoW/PoS,41.99995383,42.00
DUCK,DuckDuckCoin,Scrypt,TRUE,PoW,,121.00
LTD,Limited Coin,PoS,TRUE,PoS,,128.00
SYNC,SyncCoin,X11,TRUE,PoW/PoS,1177,1000.00
CRPS,CryptoPennies,X11,TRUE,PoS,,1593.15
MMXIV,MaieutiCoin,SHA-256,TRUE,PoS,0,2014.00
EGG,EggCoin,Scrypt,TRUE,PoW/PoS,,3891.00
FCTC,FaucetCoin,X13,FALSE,PoS,,10000.00
BMXT,Bitmxittz,Scrypt,FALSE,PoW/PoS,,10000.00
CVNC,CovenCoin,SHA-256,TRUE,PoW/PoS,,33000.00
EPY,Empyrean,Scrypt,TRUE,PoW,,100000.00
GIZ,GIZMOcoin,X11,TRUE,PoW/PoS,0,100000.00
TRI,Triangles Coin,X13,TRUE,PoW/PoS,140777.7534,120000.00
PIO,Pioneershares,X11,TRUE,PoW/PoS,,200000.00
DES,Destiny,Scrypt,TRUE,PoW/PoS,,212625.00
UNO,Unobtanium,SHA-256,TRUE,PoW,200911.7915,250000.00
MPRO,MediumProject,PoS,TRUE,PoW,,250000.00
ZOOM,ZoomCoin,Lyra2RE,TRUE,PoW,,250000.00
RT2,RotoCoin,Scrypt-n,TRUE,PoW/PoS,,288000.00
TECH,TechCoin,X13,TRUE,PoW/PoS,,300000.00
32BIT,32Bitcoin,X11,TRUE,PoW/PoS,,355000.00
NETC,NetworkCoin,X13,TRUE,PoW/PoS,,400000.00
KNGN,KingN Coin,Scrypt,FALSE,PoW/PoS,,420000.00
BTB,BitBar,Scrypt,TRUE,PoW/PoS,42579.4769,500000.00
CHA,Charity Coin,Scrypt,TRUE,PoW,,500000.00
ICON,Iconic,PoS,TRUE,PoS,,520000.00
611,SixEleven,SHA-256,TRUE,PoW,,611000.00
OMNI,Omni,Scrypt,TRUE,PoW,616448,616448.00
MSC,MasterCoin,Scrypt,TRUE,PoW,619478,619478.00
FIBRE,FIBRE,NIST5,TRUE,PoW/PoS,0,624000.00
PSI,PSIcoin,X11,TRUE,PoS,,696969.00
LSD,LightSpeedCoin,NIST5,TRUE,PoW/PoS,,900000.00
7,007 coin,Scrypt,TRUE,PoW,,989800.00
MLITE,MeLite,SHA-256D,TRUE,PoW/PoS,,1000000.00
CBX,CryptoBullion,Scrypt,TRUE,PoW/PoS,1039116.651,1000000.00
FRAC,FractalCoin,X11,TRUE,PoW,,1000000.00
KEYC,KeyCoin,X13,FALSE,PoW/PoS,,1000000.00
LXC,LibrexCoin,X11,TRUE,PoW/PoS,0,1000000.00
MINRL,Minerals Coin,X11,FALSE,PoW/PoS,,1000000.00
SHLD,ShieldCoin,X15,TRUE,PoW/PoS,0,1000000.00
SILK,SilkCoin,Scrypt,TRUE,PoW/PoS,0,1000000.00
TAG,TagCoin,Scrypt,TRUE,PoW/PoS,,1000000.00
TITC,TitCoin,Scrypt,TRUE,PoW,,1000000.00
SLING,Sling Coin,SHA-256,TRUE,PoW,0,1000000.00
ICASH,ICASH,X11,TRUE,PoW,,1000000.00
VMC,VirtualMining Coin,Scrypt-n,TRUE,PoW,,1000000.00
FLX,Flash,Scrypt,TRUE,PoW/PoS,,1000000.00
DGDC,DarkGold,X13,TRUE,PoW/PoS,,1000000.00
PLANET,PlanetCoin,Scrypt,TRUE,PoW/PoS,,1000000.00
DUO,ParallelCoin,Scrypt,TRUE,PoW,0,1000000.00
XWT,World Trade Funds,X15,TRUE,PoW/PoS,,1000000.00
XBC,BitcoinPlus,Scrypt,TRUE,PoS,128326.9963,1000000.00
SOLE,SoleCoin,X15,TRUE,PoW/PoS,,1200000.00
ZET2,Zeta2Coin,Quark,TRUE,PoW/PoS,,1200000.00
BTTF,Coin to the Future,PoS,TRUE,PoS,,1210000.00
ALEX,Alexandrite,SHA-256,TRUE,PoW/PoS,,1268000.00
XBS,Bitstake,X11,TRUE,PoW/PoS,0,1300000.00
INC,Incrementum,PoS,TRUE,PoS,,1300000.00
PTA,PentaCoin,SHA-256,TRUE,PoW/PoS,,1311955.00
LTB,Litebar ,Scrypt,TRUE,PoW,1104344.229,1350000.00
DRKT,DarkTron,SHA-256,TRUE,PoW/PoS,,1500000.00
ACOIN,ACoin,SHA-256,TRUE,PoW,0,1600000.00
MCT,1717 Masonic Commemorative Token,Ethash,TRUE,PoS,1618033,1618033.00
HVCO,High Voltage Coin,SHA-256,TRUE,PoW/PoS,,1700000.00
GSM,GSM Coin,X11,TRUE,PoW/PoS,,1800000.00
SHADE,ShadeCoin,Scrypt,TRUE,PoW/PoS,,2000000.00
XBOT,SocialXbotCoin,Scrypt,TRUE,PoW/PoS,0,2000000.00
CHILD,ChildCoin,X11,TRUE,PoW,,2000000.00
CMTC,CometCoin,Scrypt,TRUE,PoW,,2000000.00
VAPOR,Vaporcoin,SHA-256,TRUE,PoW/PoS,,2000000.00
DSB,DarkShibe,Scrypt,TRUE,PoW,0,2043962.00
XAU,XauCoin,SHA-256,TRUE,PoW,,2100000.00
XRC,Bitcoin Rhodium,X13,TRUE,PoW,1170292.5,2100000.00
PSEUD,PseudoCash,X13,TRUE,PoW/PoS,,2200000.00
NXE,NXEcoin,NIST5,TRUE,PoW/PoS,,2200000.00
MAPC,MapCoin,X11,TRUE,PoS,0,2228921.18
DBIX,DubaiCoin,Dagger-Hashimoto,TRUE,PoW,2232901,2232901.00
SPKTR,Ghost Coin,SHA-256,TRUE,PoW/PoS,,2270000.00
XDQ,Dirac Coin,Blake,TRUE,PoW,,2272800.00
XCE,Cerium,SHA-256,TRUE,PoW/PoS,,2307925.00
XCSH,Xcash,Scrypt,FALSE,PoW/PoS,,2400000.00
CLINT,Clinton,SHA-256,TRUE,PoW,0,2421227.00
ROYAL,RoyalCoin,X13,TRUE,PoS,2500124,2500124.00
RYCN,RoyalCoin 2.0,X13,TRUE,PoS,,2500124.00
CF,Californium,SHA-256,TRUE,PoW,,2520000.00
FRC,FireRoosterCoin,SHA-256,TRUE,PoW,0,2602410.00
ULTC,Umbrella,SHA-256,TRUE,PoW,0,2625000.00
WBB,Wild Beast Coin,Scrypt,TRUE,PoW,181919.2436,2628000.00
OS76,OsmiumCoin,Scrypt,TRUE,PoW,894026,2714286.00
NUKE,NukeCoin,PoS,TRUE,PoS,,2778196.00
J,JoinCoin,Multiple,TRUE,PoW,3332922.5,2800000.00
HSP,Horse Power,Scrypt,TRUE,PoW,,2900000.00
MCAR,MasterCar,Scrypt,TRUE,PoW/PoS,,2991837.00
DANK,DarkKush,X13,TRUE,PoW/PoS,,3000000.00
EKN,Elektron,X13,TRUE,PoW/PoS,,3000000.00
MST,MustangCoin,X11,TRUE,PoW/PoS,657636.3455,3000000.00
BRIA,Briacoin,Scrypt,TRUE,PoW/PoS,845637.8135,3000000.00
XSB,Extreme Sportsbook,X11,FALSE,PoS,,3000000.00
TWIST,TwisterCoin,X11,TRUE,PoW/PoS,,3195000.00
JBS,JumBucks Coin,X11,TRUE,PoW/PoS,0,3293010.00
GAKH,GAKHcoin,Scrypt,TRUE,PoW/PoS,3315789,3315789.00
BVC,BeaverCoin,Scrypt,TRUE,PoW,3115258,3360000.00
OMC,OmniCron,Scrypt,TRUE,PoW,10140044.44,3371337.00
MRP,MorpheusCoin,X11,TRUE,PoW,,3400000.00
PURE,Pure,X11,TRUE,PoW/PoS,0,3686860.00
DRKC,DarkCash,X11,TRUE,PoW/PoS,0,3720000.00
ORB,Orbitcoin,NeoScrypt,TRUE,PoW/PoS,3220616.279,3770000.00
BLITZ,BlitzCoin,X13,TRUE,PoS,0,3852156.00
XEN,XenixCoin,X11,TRUE,PoW/PoS,3853326.777,3853326.78
RZR,RazorCoin,Scrypt,TRUE,PoW,,4000000.00
EMIGR,EmiratesGoldCoin,SHA-256,FALSE,PoW,,4000000.00
LCP,Litecoin Plus,Scrypt,TRUE,PoW/PoS,2504486.228,4000000.00
ETHS,EthereumScrypt,Scrypt,TRUE,PoW/PoS,0,4200000.00
ETHD,Ethereum Dark,Scrypt,TRUE,PoW/PoS,4200000,4200000.00
PSY,Psilocybin,SHA-256D,TRUE,PoW/PoS,,4214600.00
DMD,Diamond,Groestl,TRUE,PoW/PoS,3304487.747,4380000.00
BRONZ,BitBronze,Scrypt,TRUE,PoW,,4502400.00
XFT,Fantasy Cash,Scrypt,TRUE,PoW/PoS,0,4600000.00
NRS,NoirShares,Scrypt,TRUE,PoW/PoS,,5000000.00
XNG,Enigma,X11,TRUE,PoW/PoS,814671,5000000.00
MXT,MartexCoin,X13,TRUE, PoW/PoS,,5000000.00
ALTCOM,AltCommunity Coin,SkunkHash,TRUE,PoW/PoS,0,5000000.00
IC,Ignition,Scrypt,TRUE,PoW/PoS,1182153.5,5000000.00
BTA,Bata,Scrypt,TRUE,PoW,5052555.92,5000000.00
DRZ,Droidz,QUAIT,TRUE,PoW/PoS,8568038.359,5060000.00
JIF,JiffyCoin,SHA-256D,TRUE,PoW,,5108400.00
GIC,Giant,Quark,TRUE,PoW/PoS,5919489.768,5151000.00
TAM,TamaGucci,Scrypt,TRUE,PoW/PoS/PoC,,5300000.00
GBIT,GravityBit,Scrypt,TRUE,PoW/PoS,,5333000.00
XC,X11 Coin,X11,TRUE,PoW/PoS,6950831.097,5500000.00
APEX,ApexCoin,X13,TRUE,PoW/PoS,0,6000000.00
CRACK,CrackCoin,X11,TRUE,PoW,,6000000.00
XPRO,ProCoin,X15,TRUE,PoW/PoS,,6000000.00
C25,C25 Coin,SkunkHash,TRUE,PoW,0,6100000.00
OBS,Obscurebay,X11,TRUE,PoW/PoS,,6562000.00
GIFT,GiftNet,X13,TRUE,PoW,,6750000.00
AERO,Aero Coin,X13,TRUE,PoS,0,7000000.00
GLYPH,GlyphCoin,X11,TRUE,PoW/PoS,0,7000000.00
HONEY,Honey,Blake2S,TRUE,PoW/PoS,,7000000.00
COG,Cognitio,SHA-256D,FALSE,PoW/PoS,658584.4616,7500000.00
OTX,Octanox,X11,TRUE,PoW/PoS,0,7905634.00
SEEDS,SeedShares,SHA-256D,TRUE,PoW/PoS,,7996400.00
KNG,BetKings,X11,FALSE,PoS,11359634.65,8148139.00
CNL,ConcealCoin,X11,TRUE,PoW,,8500000.00
PART,Particl,PoS,TRUE,PoS,9283137.556,8634140.00
ICB,IceBergCoin,NIST5,TRUE,PoW/PoS,,8750000.00
SCT,ScryptToken,Scrypt,TRUE,PoW/PoS,,8842105.00
PHS,PhilosophersStone,Scrypt,TRUE,PoW,,8891840.00
SPCIE,Specie,PoS,TRUE,PoS,,9000000.00
TBCX,TrashBurn,SHA-256D,TRUE,PoS,,9000000.00
RADS,Radium,PoS,TRUE,PoS,3821245.742,9000000.00
RMS,Resumeo Shares,NIST5,TRUE,PoS,,9188302.00
KUSH,KushCoin,X11,TRUE,PoW/PoS,5659096.957,9354000.00
XMCC,Monoeci,X11,TRUE,PoW/PoS,12569262.54,9507271.00
ZYD,ZayedCoin,SHA-256,TRUE,PoW,6243840,9736000.00
HXX,HexxCoin,Lyra2RE,TRUE,PoW,1876146.444,9999999.00
MINC,MinCoin,Scrypt,TRUE,PoW,5804204.888,10000000.00
TOR,TorCoin,X11,TRUE,PoW/PoS,1431851,10000000.00
STV,Sativa Coin,X13,TRUE,PoW/PoS,7096834,10000000.00
MMC,MemoryCoin,Multiple,TRUE,PoW,,10000000.00
CAMC,Camcoin,X11,FALSE,PoW/PoS,,10000000.00
MNM,Mineum,X13,TRUE,PoW/PoS,,10000000.00
KRB,Karbo,CryptoNight,TRUE,PoW,7822432.724,10000000.00
LAZ,Lazarus,DPoS,TRUE,DPoS,,10000000.00
FJC,FujiCoin,Scrypt-n,TRUE,PoW,0,10000000.00
WOP,WorldPay,X11,TRUE,PoW/PoS,,10000000.00
AV,Avatar Coin,PoS,TRUE,PoS,,10000000.00
UAEC,United Arab Emirates Coin,X11,FALSE,PoW/PoS,,10000000.00
RICE,RiceCoin,X13,TRUE,PoW/PoS,,10000000.00
SBSC,Subscriptio,PoS,TRUE,PoS,,10000000.00
DNR,Denarius,NIST5,TRUE,PoW/PoS,4171382,10000000.00
MADC,MadCoin,Scrypt,TRUE,PoW,,10000000.00
ELIC,Elicoin,YescryptR16,TRUE,PoW,,10000000.00
HMN,Harvest Masternode Coin,Scrypt,TRUE,PoW/PoS,,10000000.00
MTR,MasterTraderCoin,X11,TRUE,PoW/PoS,0,10110000.00
DBIC,DubaiCoin,SHA-256,TRUE,PoW/PoS,5129014,10500000.00
NBIT,NetBit,Scrypt,TRUE,PoW/PoS,,10500000.00
GIN,GINcoin,Lyra2Z,TRUE,PoW,6986399.704,10500000.00
DLC,DollarCoin,SHA-256,TRUE,PoW,9106714,10638298.00
ECOC,ECOcoin,Scrypt,TRUE,PoW/PoS,,10733333.00
Z2,Z2 Coin,SHA-256,FALSE,PoW,,11000000.00
ZILLA,ChainZilla,Equihash,FALSE,DPoW,11000068.27,11000000.00
CCX,CoolDarkCoin,Scrypt,TRUE,PoW/PoS,,11052632.00
FRK,Franko,Scrypt,TRUE,PoW,1142732.149,11235813.00
CMOS,Cosmo,Quark,FALSE,PoW,8928876.686,11892000.00
RIPO,RipOffCoin,Scrypt,TRUE,PoW,0,12000000.00
KORE,Kore,X13,TRUE,PoW/PoS,2022464.887,12000000.00
AM,AeroMe,X13,TRUE,PoW/PoS,0,12000000.00
TRUMP,TrumpCoin,Blake,TRUE,PoS,0,12000000.00
XPY,PayCoin,SHA-256,TRUE,PoS,11995334.88,12500000.00
COAL,BitCoal,CryptoNight,TRUE,PoW,4500000,12500000.00
DARK,Dark,SHA-256,TRUE,PoW/PoS,,12800000.00
UNITS,GameUnits,Scrypt,TRUE,PoW/PoS,3472983,13000000.00
CCN,CannaCoin,Scrypt,TRUE,PoW,4703879.518,13140000.00
CSPN,Crypto Sports,Quark,TRUE,PoS,1934701.675,13370000.00
ETHO,ETHER-1,Ethash,TRUE,PoW,0,13666237.00
REDN,Reden,X16S,FALSE,PoW,0,14000000.00
FIND,FindCoin,X13,TRUE,PoS,14524851.48,14524851.48
BLHC,BlackholeCoin,Scrypt,TRUE,PoW/PoS,16362544.99,14788275.99
CINNI,CINNICOIN,Scrypt,TRUE,PoW,,15000000.00
XSI,Stability Shares,Scrypt,TRUE,PoW/PoS,,15000000.00
PXL,Phalanx,SHA-256,TRUE,PoW,0,15000000.00
DBG,Digital Bullion Gold,PoS,TRUE,PoS,0,15000000.00
ASAFE2,Allsafe,Quark,TRUE,PoS,10517772.74,15000000.00
AMX,Amero,NeoScrypt,TRUE,PoW/PoS,,15000000.00
GEN,Genstake,Scrypt,TRUE,PoW/PoS,60000000,15000000.00
GMCN,GambleCoin,Scrypt,FALSE,PoS,8240763.495,15600000.00
TER,TerraNovaCoin,Scrypt,TRUE,PoW/PoS,1140734.917,15733333.00
MND,MindCoin,X11,TRUE,PoW,15867695,16000000.00
BIT16,16BitCoin,NIST5,TRUE,PoW/PoS,0,16000000.00
NAUT,Nautilus Coin,Scrypt,TRUE,PoS,16180000,16180000.00
ARCH,ArchCoin,Scrypt,TRUE,PoS,0,16403135.00
XLB,LibertyCoin,X11,TRUE,PoW/PoS,,16500000.00
CRB,Creditbit ,X11,TRUE,Proof of Trust,16901016.66,16504333.00
MUN,MUNcoin,SkunkHash,TRUE,PoW,4818338.989,16600000.00
AUR,Aurora Coin,Scrypt,TRUE,PoW/PoS,18135099.99,16768584.00
EXP,Expanse,Ethash,TRUE,PoW,10495278,16906397.00
KTK,KryptCoin,Scrypt,TRUE,PoS,0,17000000.00
ZER,Zero,Equihash,TRUE,PoW,6921653.9,17000000.00
SKC,Skeincoin,Skein,TRUE,PoW,0,17000000.00
DFT,Draftcoin,Scrypt,TRUE,PoS,18663297.35,17405891.20
LTCP,LitecoinPro,Scrypt,TRUE,PoW,,17500000.00
ARMS,2Acoin,CryptoNight-V7,FALSE,PoW,,17910000.00
CRYPT,CryptCoin,X11,TRUE,PoW,4996986.206,18000000.00
ELS,Elysium,Scrypt,TRUE,PoW,,18000000.00
KZC,KZCash,X11,TRUE,PoW,,18000000.00
KEC,KEYCO,Tribus,TRUE,PoW,795447,18000000.00
MUSE,Muse,DPoS,TRUE,PoS,18194936,18081806.00
DOGETH,EtherDoge,X11,TRUE,PoW/PoS,,18100000.00
AEON,AEON,CryptoNight-Lite,TRUE,PoW,0,18400000.00
FNO,Fonero,PHI1612,TRUE,PoW,,18400000.00
XMC,Monero Classic,CryptoNight,TRUE,PoW,16016864,18400000.00
DERO,Dero,CryptoNight,TRUE,PoW,,18400000.00
XNB,Xeonbit,CryptoNight,TRUE,PoW,,18400000.00
FCN,FantomCoin ,CryptoNight,TRUE,PoW,0,18400000.00
DSH,Dashcoin,CryptoNight,TRUE,PoW,0,18446744.00
BIPC,BipCoin,CryptoNight,TRUE,PoW,,18446744.00
ITA,Italocoin,CryptoNight Heavy,FALSE,PoW,,18446744.00
QCN,Quazar Coin,CryptoNight,TRUE,PoW,0,18446744.00
BBR,Boolberry,X11,TRUE,PoW,0,18450000.00
MSR,Masari,CryptoNight,TRUE,PoW,,18500000.00
ONION,DeepOnion,X13,TRUE,PoW/PoS,21917018.05,18898187.62
DAS,DAS,X11,TRUE,PoW,2622886,18900000.00
BBCC,BaseballCardCoin,Scrypt,TRUE,PoW/PoS,,19000000.00
XGS,GenesisX,XEVAN,FALSE,PoS,0,19000000.00
GALI,Galilel,Quark,TRUE,PoW/PoS,18265011.25,19035999.00
UNIFY,Unify,Scrypt,TRUE,PoW,18133195,19276800.00
SPD,Stipend,C11,TRUE,PoW/PoS,11251342.19,19340594.00
GUE,GuerillaCoin,X11,TRUE,PoW/PoS,,19500000.00
DASHP,Dash Platinum,X11,TRUE,PoS,715659.4424,19700000.00
SUCR,Sucre,X11,TRUE,PoW,4229040.504,19800000.00
SPR,Spreadcoin,X11,TRUE,PoW,11149734,20000000.00
KDC,Klondike Coin,Scrypt,TRUE,PoW,,20000000.00
LKY,LuckyCoin,Scrypt,TRUE,PoW,19326319.14,20000000.00
U,Ucoin,X11,TRUE,PoS,2689812,20000000.00
VTR,Vtorrent,Scrypt,TRUE,PoW/PoS,11604722,20000000.00
NEBU,Nebuchadnezzar,PoS,TRUE,PoS,20000000,20000000.00
FRN,Francs,Scrypt,TRUE,PoW,6570807.657,20000000.00
KRAK,Kraken,SHA-256,TRUE,PoW/PoS,,20000000.00
SPORT,SportsCoin,X11,TRUE,PoS,,20000000.00
PRE,Premium,Scrypt,TRUE,PoW,,20000000.00
LUCKY,LuckyBlocks,PoS,TRUE,PoS,,20000000.00
XCRE,Creatio,PoS,TRUE,PoS,20000000,20000000.00
EUC,Eurocoin,SHA-256,TRUE,PoW/PoS,12416554,20000000.00
PRX,Printerium,Scrypt,TRUE,PoW/PoS,11821728,20000000.00
SFC,Solarflarecoin,Scrypt,TRUE,PoW,0,20000000.00
HAMS,HamsterCoin,Scrypt,TRUE,PoW,,20000000.00
FRAZ,FrazCoin,Scrypt,TRUE,PoW,9704042,20000000.00
NRO,Neuro,SHA-256,FALSE,PoW/PoS,,20000000.00
KLKS,Kalkulus,Quark,TRUE,PoS,16955764.9,20000000.00
STN,Steneum Coin,Scrypt,TRUE,PoW,,20000000.00
SCRM,Scorum,DPoS,TRUE,DPoS,,20000000.00
UBTC,UnitedBitcoin,SHA-256,TRUE,PoW,20166000,20166000.00
BIOS,BiosCrypto,Quark,TRUE,PoW/PoS,0,20190463.55
EAGS,EagsCoin,X11,TRUE,PoW/PoS,,20445500.00
RBTC,Smart Bitcoin,SHA-256,TRUE,PoW,0,20999764.00
BTC,Bitcoin,SHA-256,TRUE,PoW,17927175,21000000.00
ZEC,ZCash,Equihash,TRUE,PoW,7383056.25,21000000.00
PRC,ProsperCoin,Scrypt,TRUE,PoW,5768310,21000000.00
LIMX,LimeCoinX,X11,TRUE,PoW,0,21000000.00
CAT,Catcoin,Scrypt,TRUE,PoW,7219956.646,21000000.00
EFL,E-Gulden,Scrypt,TRUE,PoW,20910478.81,21000000.00
EXE,ExeCoin,Scrypt,TRUE,PoW,,21000000.00
IXC,IXcoin,SHA-256,TRUE,PoW,21089349,21000000.00
NMC,Namecoin,SHA-256,TRUE,PoW,14736400,21000000.00
RPC,RonPaulCoin,Scrypt,TRUE,PoW,1104157.422,21000000.00
SRC,SecureCoin,Scrypt,TRUE,PoW,0,21000000.00
SSV,SSVCoin,X13,TRUE,PoW,,21000000.00
SOON,SoonCoin,SHA-256,TRUE,PoW,12462620,21000000.00
BSC,BowsCoin,X11,TRUE,PoW,15863837.5,21000000.00
I0C,I0coin,SHA-256,TRUE,PoW,20997476.87,21000000.00
DCR,Decred,BLAKE256,TRUE,PoW/PoS,10365046.93,21000000.00
FUZZ,Fuzzballs,Scrypt,TRUE,PoW,,21000000.00
SCRT,SecretCoin,X11,TRUE,PoW/PoS,0,21000000.00
BXT,BitTokens,SHA-256,TRUE,PoW/PoS,595429,21000000.00
ZNE,ZoneCoin,Scrypt,TRUE,PoW/PoS,2581970,21000000.00
ZCL,ZClassic,Equihash,TRUE,PoW,5613550,21000000.00
HUSH,Hush,Equihash,TRUE,PoW,0,21000000.00
EBZ,Ebitz,PoS,FALSE,PoS,,21000000.00
PNC,PlatiniumCoin,SHA-256,TRUE,PoW,,21000000.00
